Fr,Idx,X,Y,Z,Intensity,R,Altitude,Azimuth,Label,GT,Target Reflectivity
2,13375,18.98531723,-6.178752899,-0.762284219,1.799999952,19.97999954,-2.18650024,-18.02742771,Target 2-3,20,65.00%
2,13376,19.02040863,-6.190173149,-0.553126276,1.839999914,20.01000023,-1.583999853,-18.02742714,Target 2-3,20,65.00%
2,13377,19.00587463,-6.185443401,-0.342245668,1.799999952,19.98999977,-0.981000007,-18.02742803,Target 2-3,20,65.00%
2,13378,18.99873734,-6.183120728,-0.131813973,1.799999952,19.97999954,-0.377999967,-18.02742845,Target 2-3,20,65.00%
2,13379,18.9862709,-6.189106941,0.131748006,1.799999952,19.96999931,0.377999979,-18.0548299,Target 2-3,20,65.00%
2,13381,18.9934082,-6.19143343,0.342074454,1.799999952,19.97999954,0.980999984,-18.05482959,Target 2-3,20,65.00%
2,13383,19.01744461,-6.199269295,0.553126276,2.079999924,20.01000023,1.583999949,-18.05483102,Target 2-3,20,65.00%
2,13385,18.97286034,-6.184735298,0.76190269,1.879999995,19.96999931,2.186500112,-18.05482965,Target 2-3,20,65.00%
2,13387,18.98717308,-6.199448586,1.026674867,1.799999952,20,2.942500255,-18.08223283,Target 2-3,20,65.00%
2,13390,18.95688438,-6.189558983,1.235412359,1.679999948,19.97999954,3.545000026,-18.08223249,Target 2-3,20,65.00%
2,13393,18.82972336,-6.148039818,1.436188102,0.159999996,19.8599968,4.146999822,-18.08223201,Target 2-3,20,65.00%
2,13400,18.65431404,-6.151274204,-1.216862679,2.079999924,19.6799984,-3.545000137,-18.25001092,Target 2-3,20,65.00%
2,13402,18.96893883,-6.255021572,-1.026674867,1.799999952,20,-2.942500142,-18.25000985,Target 2-3,20,65.00%
2,13403,18.99613571,-6.274064064,-0.763810337,1.799999952,20.02000237,-2.186499969,-18.27741144,Target 2-3,20,65.00%
2,13404,18.99321938,-6.27310133,-0.553126276,1.839999914,20.01000023,-1.583999863,-18.27741273,Target 2-3,20,65.00%
2,13405,18.98820114,-6.271443844,-0.342416883,1.839999914,20.00000191,-0.980999991,-18.27741257,Target 2-3,20,65.00%
